ID,Nombre Pelicula/Serie,Duración,Género,Calificación,Fecha Estreno,Nombre Episodio,Temporada,Num Episodio,ID Episodio
tt1480055,Game Of Thrones,57,Accion/Aventura/Drama/Fantasy/Romance,9,04/17/2011,Winter Is Coming,1,1,tt1668899
tt0107290,Jurassic Park,127,Accion/Aventura/Sci-Fi/Suspenso,8.1,11/06/1993,,,,
tt0944947,Game Of Thrones,57,Accion/Aventura/Drama/Fantasy/Romance,8.8,04/02/2011,The Kingsroad,1,2,tt1668746
tt0944947,Game Of Thrones,57,Accion/Aventura/Drama/Fantasy/Romance,8.7,05/01/2011,Lord Snow,1,3,tt1829962
tt0944947,Game Of Thrones,57,Accion/Aventura/Drama/Fantasy/Romance,8.8,05/08/2011,"Cripples Bastards And Broken Things",1,4,tt1829963
tt0944947,Game Of Thrones,57,Accion/Aventura/Drama/Fantasy/Romance,9.1,05/12/2011,The Wolf And The Lion,1,5,tt1829964
tt0944947,Game Of Thrones,57,Accion/Aventura/Drama/Fantasy/Romance,9.2,5/22/2011,A Golden Crown,1,6,tt1837862
tt0944947,Game Of Thrones,57,Accion/Aventura/Drama/Fantasy/Romance,9.2,5/29/2011,You Win Or You Die,1,7,tt1837863
tt0944947,Game Of Thrones,57,Accion/Aventura/Drama/Fantasy/Romance,9,05/06/2011,The Pointy End,1,8,tt1837864
tt0944947,Game Of Thrones,57,Accion/Aventura/Drama/Fantasy/Romance,9.6,12/06/2011,Baelor,1,9,tt1851398
tt0796366,Star Trek,127,Accion/Aventura/Sci-Fi,7.9,08/05/2009,,,,
tt0120762,Mulan,88,Animacion/Aventura/Familiar/Fantasy/Musical/Guerra,7.6,6/19/1998,,,,
tt0120131,The Lion King 2: Simba Pride,81,Animacion/Aventura/Drama/Familiar/Musical/Romance,6.5,10/27/1998,,,,
tt0078346,Superman,143,Accion/Aventura/Drama/Sci-Fi,7.3,12/15/1978,,,,
tt0096895,Batman,126,Accion/Aventura,7.5,6/23/1989,,,,
tt0848228,The Avengers,143,Accion/Aventura/Sci-Fi,8,04/05/2012,,,,
tt0415778,End Game,93,Accion/Crimen/Drama/Misterio/Suspenso,5.1,7/21/2006,,,,
tt0108778,Friends,22,Comedia/Romance,8.4,9/22/1994,The One Where Monica Gets A Roommate,1,1,tt0583459
tt0108778,Friends,22,Comedia/Romance,8.1,9/29/1994,The One With The Sonogram At The End,1,2,tt0583647
tt0108778,Friends,22,Comedia/Romance,8.2,06/10/1994,The One With The Thumb,1,3,tt0583653
tt1853728,Django Unchained,165,Drama/Western,8.4,12/25/2012,,,,
tt1442437,Modern Familiar,22,Comedia/Drama/Romance,8.4,9/23/2009,Pilot,1,1,tt1444504
tt1638002,Love Rosie ,102,Comedia/Romance,7.2,10/22/2014,,,,
tt0088763,Back To The Future,116,Aventura/Comedia/Sci-Fi,8.5,03/07/1985,,,,
tt1485796,The Greatest Showman,105,Biografia/Drama/Musical,7.6,12/20/2017,,,,
tt4116284,The Lego Batman Movie,104,Animacion/Accion/Comedia/Familiar,7.3,10/02/2017,,,,
tt1442437,Modern Familiar,22,Comedia/Drama/Romance,8.2,9/23/2009,The Bicycle Thief,1,2,tt1492032
tt1442437,Modern Familiar,22,Comedia/Drama/Romance,8,07/10/2009,Come Fly With Me,1,3,tt1520618
tt2935510,Ad Astra,123,Aventura/Drama/Misterio' Sci-Fi' Suspenso,6.6,9/20/2019,,,,
tt8579674,1917,119,Drama/Guerra,8.3,10/01/2020,,,,
tt2584384,Jojo Rabbit,108,Comedia/Drama,7.9,08/11/2019,,,,
tt0903624,The Hobbit: An Unexpected Journey,169,Aventura/Familiar/Fantasy,7.8,12/14/2012,,,,
tt2661044,The 100,43,Drama/Misterio/Sci-Fi,7.5,3/19/2014,Pilot,1,1,tt2912494
tt2661044,The 100,43,Drama/Misterio/Sci-Fi,7.5,3/26/2014,Earth Skills,1,2,tt3143980
tt2661044,The 100,43,Drama/Misterio/Sci-Fi,7.9,02/04/2014,Earth Skills,1,3,tt3143986
tt0096697,The Simpsons,22,Animacion/Comedia,7.7,1/14/1990,Bart The Genius,1,1,tt0756593
tt0096697,The Simpsons,22,Animacion/Comedia,7.7,1/28/1990,There No Disgrace Like Home,1,3,tt0756399
tt0096697,The Simpsons,22,Animacion/Comedia,7.4,1/21/1990,Homer Odyssey,1,2,tt0701124
A01379812,The Sponge Bob Square Pants Movie,87,Animacion/Aventura/Comedia/Familiar/Fantasy,6.6,11/19/2004,,,,
tt1748122,Moonrise Kingdom,94,Comedia/Drama/Romance,7.8,6/29/2012,,,,
tt0416449,300,117,Accion/Drama ,7.6,09/03/2006,,,,
tt0898266,The Big Bang Theory,19.24,Comedia/Romance ,7.3,02/02/2017,The Emotion Detection Automation,10,14,tt6414316
tt0266697,Kill Bill: Volume 1,111,Accion/Crimen/Suspenso,8.1,10/10/2003,,,,
tt0106062,Matrix,60,Accion/Drama/Fantasy/Suspenso,7.9,01/03/1993,,,,
tt1790864,The Maze Runner,113,Suspenso,6.8,09/09/2014,,,,
tt3014284,The Lego Ninjago Movie,101,Animacion/Accion/Aventura/Comedia/Familiar,6,9/22/2017,,,,
tt0126029,Shrek,90,Animacion/Aventura/Comedia/Familiar/Fantasy,7.8,5/18/2001,,,,
tt0298148,Shrek 2,93,Animacion/Aventura/Comedia/Familiar/Fantasy/Romance,7.2,5/19/2004,,,,
tt8236556,Memories Of The Alhambra,60,Drama/Romance/Sci-Fi/Suspenso,8.7,01/12/2018,Episode 1,1,1,tt9367716
tt5071412,Ozark,60,Crimen/Drama/Suspenso,8.4,7/21/2017,,,,
tt0877057,Death Note,24,Animacion/Crimen/Drama/Fantasy/Misterio/Suspenso,9,10/21/2007,Confrontation,1,2,tt0900488
tt0900488,The Prestige,130,Drama/Misterio/Sci-Fi/Suspenso,8.5,10/20/2006,,,,
tt0110912,Pulp Fiction,154,Crimen/Drama,8.9,10/14/1994,,,,
tt2051178,Fate Zero,24,Animacion/Accion/Drama/Fantasy/Suspenso,8.3,01/10/2011,Masp No Yaiba,1,4,tt2159235
tt3339966,Unbreakable Kimmy Schmidt,30,Comedia/Drama,7.6,06/03/2015,Kimmy Roommate Lemonades!,3,2,tt6257244
tt2085059,Black Mirror,60,Drama/Sci-Fi/Suspenso,8.8,04/12/2011,White Bear,2,2,tt2542420
tt7569592,Chilling Aventura of Sabrina,60,Drama/Fantasy/Terror/Misterio/Suspenso,7.6,10/26/2018,Chapter Eighteen: The Miracles Of Sabrina Spellman,2,7,tt7697970
tt1855325,Resident Evil: Retribution,95,Accion/Aventura/Fantasy/Terror/Sci-Fi/Suspenso,5.4,9/14/2012,,,,
